event_date,source,medium,campaign,user_session_count,cart_add_count,visit_to_cart,checkout_count,visit_to_checkout,purchase_count,visit_to_purchase
2020-11-01,(data deleted),(data deleted),(data deleted),122,0,0.0,6,0.049,1,0.008
2020-11-01,(data deleted),(data deleted),<Other>,1,0,0.0,0,0.0,0,0.0
2020-11-01,(direct),(none),(direct),611,0,0.0,23,0.038,5,0.008
2020-11-01,<Other>,(data deleted),(data deleted),3,0,0.0,0,0.0,0,0.0
2020-11-01,<Other>,<Other>,<Other>,370,0,0.0,13,0.035,1,0.003
2020-11-01,<Other>,organic,(organic),88,0,0.0,3,0.034,0,0.0
2020-11-01,<Other>,referral,(referral),255,0,0.0,8,0.031,2,0.008
2020-11-01,google,cpc,<Other>,108,0,0.0,4,0.037,0,0.0
2020-11-01,google,organic,(organic),824,0,0.0,22,0.027,2,0.002
2020-11-01,shop.googlemerchandisestore.com,referral,(referral),212,1,0.005,15,0.071,2,0.009
2020-11-02,(data deleted),(data deleted),(data deleted),254,0,0.0,15,0.059,7,0.028
2020-11-02,(data deleted),(data deleted),<Other>,7,0,0.0,0,0.0,0,0.0
2020-11-02,(direct),(none),(direct),821,0,0.0,19,0.023,7,0.009
2020-11-02,<Other>,(data deleted),(data deleted),7,0,0.0,0,0.0,0,0.0
2020-11-02,<Other>,<Other>,<Other>,529,0,0.0,12,0.023,3,0.006
2020-11-02,<Other>,organic,(organic),109,0,0.0,3,0.028,1,0.009
2020-11-02,<Other>,referral,(referral),360,0,0.0,11,0.031,4,0.011
2020-11-02,google,cpc,<Other>,175,0,0.0,6,0.034,2,0.011
2020-11-02,google,organic,(organic),1099,0,0.0,50,0.045,9,0.008
2020-11-02,shop.googlemerchandisestore.com,referral,(referral),321,0,0.0,13,0.04,7,0.022
2020-11-03,(data deleted),(data deleted),(data deleted),322,0,0.0,14,0.043,12,0.037
2020-11-03,(data deleted),(data deleted),<Other>,7,0,0.0,0,0.0,0,0.0
2020-11-03,(direct),(none),(direct),1234,0,0.0,35,0.028,12,0.01
2020-11-03,<Other>,(data deleted),(data deleted),10,0,0.0,0,0.0,0,0.0
2020-11-03,<Other>,<Other>,<Other>,740,0,0.0,15,0.02,5,0.007
2020-11-03,<Other>,organic,(organic),135,0,0.0,2,0.015,1,0.007
2020-11-03,<Other>,referral,(referral),511,0,0.0,11,0.022,5,0.01
2020-11-03,google,cpc,<Other>,238,0,0.0,9,0.038,2,0.008
2020-11-03,google,organic,(organic),1682,0,0.0,43,0.026,7,0.004
2020-11-03,shop.googlemerchandisestore.com,referral,(referral),402,0,0.0,12,0.03,4,0.01
2020-11-04,(data deleted),(data deleted),(data deleted),300,0,0.0,13,0.043,5,0.017
2020-11-04,(data deleted),(data deleted),<Other>,6,0,0.0,1,0.167,0,0.0
2020-11-04,(direct),(none),(direct),954,0,0.0,22,0.023,5,0.005
2020-11-04,<Other>,(data deleted),(data deleted),6,0,0.0,0,0.0,0,0.0
2020-11-04,<Other>,<Other>,<Other>,630,0,0.0,19,0.03,2,0.003
2020-11-04,<Other>,organic,(organic),123,0,0.0,2,0.016,1,0.008
2020-11-04,<Other>,referral,(referral),408,0,0.0,10,0.025,5,0.012
2020-11-04,<Other>,referral,<Other>,1,0,0.0,0,0.0,0,0.0
2020-11-04,google,cpc,<Other>,169,0,0.0,6,0.036,0,0.0
2020-11-04,google,organic,(organic),1310,0,0.0,32,0.024,7,0.005
2020-11-04,shop.googlemerchandisestore.com,referral,(referral),373,0,0.0,11,0.029,3,0.008
2020-11-05,(data deleted),(data deleted),(data deleted),335,0,0.0,11,0.033,5,0.015
2020-11-05,(data deleted),(data deleted),<Other>,8,0,0.0,1,0.125,1,0.125
2020-11-05,(direct),(none),(direct),852,0,0.0,25,0.029,6,0.007
2020-11-05,<Other>,(data deleted),(data deleted),7,0,0.0,1,0.143,1,0.143
2020-11-05,<Other>,<Other>,<Other>,480,0,0.0,17,0.035,3,0.006
2020-11-05,<Other>,organic,(organic),91,0,0.0,5,0.055,0,0.0
2020-11-05,<Other>,referral,(referral),357,0,0.0,17,0.048,5,0.014
2020-11-05,google,cpc,<Other>,154,0,0.0,8,0.052,1,0.006
2020-11-05,google,organic,(organic),1168,0,0.0,28,0.024,1,0.001
2020-11-05,shop.googlemerchandisestore.com,referral,(referral),342,0,0.0,13,0.038,3,0.009
2020-11-06,(data deleted),(data deleted),(data deleted),265,0,0.0,11,0.042,4,0.015
2020-11-06,(data deleted),(data deleted),<Other>,4,0,0.0,0,0.0,0,0.0
2020-11-06,(data deleted),referral,(referral),1,0,0.0,1,1.0,0,0.0
2020-11-06,(direct),(none),(direct),748,0,0.0,30,0.04,11,0.015
2020-11-06,<Other>,(data deleted),(data deleted),6,0,0.0,0,0.0,0,0.0
2020-11-06,<Other>,<Other>,<Other>,412,0,0.0,25,0.061,3,0.007
2020-11-06,<Other>,organic,(organic),91,0,0.0,2,0.022,0,0.0
2020-11-06,<Other>,referral,(referral),293,0,0.0,17,0.058,7,0.024
2020-11-06,google,cpc,<Other>,134,0,0.0,3,0.022,1,0.007
2020-11-06,google,organic,(organic),998,0,0.0,51,0.051,17,0.017
2020-11-06,shop.googlemerchandisestore.com,referral,(referral),312,0,0.0,9,0.029,5,0.016
2020-11-07,(data deleted),(data deleted),(data deleted),132,0,0.0,5,0.038,1,0.008
2020-11-07,(data deleted),(data deleted),<Other>,5,0,0.0,0,0.0,0,0.0
2020-11-07,(direct),(none),(direct),548,0,0.0,28,0.051,6,0.011
2020-11-07,<Other>,<Other>,<Other>,307,0,0.0,12,0.039,3,0.01
2020-11-07,<Other>,organic,(organic),52,0,0.0,5,0.096,1,0.019
2020-11-07,<Other>,referral,(referral),227,0,0.0,9,0.04,3,0.013
2020-11-07,google,cpc,<Other>,106,0,0.0,3,0.028,2,0.019
2020-11-07,google,organic,(organic),684,0,0.0,39,0.057,10,0.015
2020-11-07,shop.googlemerchandisestore.com,referral,(referral),178,0,0.0,10,0.056,2,0.011
2020-11-08,(data deleted),(data deleted),(data deleted),137,0,0.0,5,0.036,4,0.029
2020-11-08,(data deleted),(data deleted),<Other>,2,0,0.0,1,0.5,1,0.5
2020-11-08,(direct),(none),(direct),473,0,0.0,18,0.038,5,0.011
2020-11-08,<Other>,(data deleted),(data deleted),3,0,0.0,0,0.0,0,0.0
2020-11-08,<Other>,<Other>,<Other>,309,0,0.0,21,0.068,5,0.016
2020-11-08,<Other>,organic,(organic),56,0,0.0,0,0.0,0,0.0
2020-11-08,<Other>,referral,(referral),216,0,0.0,11,0.051,3,0.014
2020-11-08,google,cpc,<Other>,88,0,0.0,0,0.0,0,0.0
2020-11-08,google,organic,(organic),656,0,0.0,35,0.053,9,0.014
2020-11-08,shop.googlemerchandisestore.com,referral,(referral),192,0,0.0,9,0.047,4,0.021
2020-11-09,(data deleted),(data deleted),(data deleted),230,0,0.0,12,0.052,6,0.026
2020-11-09,(data deleted),(data deleted),<Other>,6,0,0.0,0,0.0,0,0.0
2020-11-09,(direct),(none),(direct),787,0,0.0,42,0.053,11,0.014
2020-11-09,<Other>,(data deleted),(data deleted),8,0,0.0,0,0.0,0,0.0
2020-11-09,<Other>,<Other>,<Other>,454,0,0.0,17,0.037,7,0.015
2020-11-09,<Other>,organic,(organic),90,0,0.0,2,0.022,1,0.011
2020-11-09,<Other>,referral,(referral),294,0,0.0,10,0.034,3,0.01
2020-11-09,google,cpc,<Other>,122,0,0.0,4,0.033,0,0.0
2020-11-09,google,organic,(organic),972,0,0.0,36,0.037,10,0.01
2020-11-09,shop.googlemerchandisestore.com,referral,(referral),264,0,0.0,12,0.045,5,0.019
2020-11-10,(data deleted),(data deleted),(data deleted),268,0,0.0,13,0.049,7,0.026
2020-11-10,(data deleted),(data deleted),<Other>,3,0,0.0,1,0.333,1,0.333
2020-11-10,(direct),(none),(direct),850,0,0.0,45,0.053,16,0.019
2020-11-10,<Other>,(data deleted),(data deleted),7,0,0.0,2,0.286,0,0.0
2020-11-10,<Other>,<Other>,<Other>,518,0,0.0,26,0.05,9,0.017
2020-11-10,<Other>,organic,(organic),93,0,0.0,4,0.043,2,0.022
2020-11-10,<Other>,referral,(referral),387,0,0.0,17,0.044,4,0.01
2020-11-10,google,cpc,<Other>,159,0,0.0,9,0.057,2,0.013
2020-11-10,google,organic,(organic),1151,0,0.0,39,0.034,15,0.013
