page_path,user_session_count,purchase_count,visit_to_purchase
/,109555,2421,0.022
/Google+Redesign/Apparel/Google+Dino+Game+Tee,11356,1,0.0
/Google+Redesign/Apparel/Hats,1015,23,0.023
/store-policies/frequently-asked-questions/,2318,4,0.002
/Google+Redesign/Apparel,22335,132,0.006
/Google+Redesign/Shop+by+Brand/YouTube,16974,61,0.004
/store,9290,93,0.01
/Google+Redesign/Bags/Google+Flat+Front+Bag+Grey,165,14,0.085
/Google+Redesign/Lifestyle/Drinkware,3737,33,0.009
/Google+Redesign/Apparel/Mens,3664,147,0.04
/Google+Redesign/Apparel/YouTube+Icon+Hoodie+Black,1712,5,0.003
/Google+Redesign/Accessories/Android+Large+Removable+Sticker+Sheet,62,0,0.0
/google+redesign/shop+by+brand/youtube,800,0,0.0
/signin,3171,73,0.023
/store-policies/shipping-information/,282,1,0.004
/Google+Redesign/Stationery/Stickers,1549,8,0.005
/Google+Redesign/Shop+by+Brand/Google,2802,152,0.054
/Google+Redesign/bags/backpacks/,1079,1,0.001
/Google+Redesign/Apparel/Mens/Mens+T+Shirts,4753,43,0.009
/Google+Redesign/Lifestyle/Bags,2634,19,0.007
/Google+Redesign/Apparel/Flamingo+and+Friends+Tee+Blue,26,0,0.0
/Google+Redesign/Clearance,2298,63,0.027
/Google+Redesign/Apparel/Google+Heathered+Pom+Beanie,74,7,0.095
/Google+Redesign/Accessories,1175,0,0.0
/Google+Redesign/New,2005,48,0.024
/Google+Redesign/Apparel/YouTube+Twill+Cap+Sandwich+Black,103,4,0.039
/Google+Redesign/Stationery/Notebooks,383,7,0.018
/Google+Redesign/Bags/Google+Utility+BackPack,425,2,0.005
/Google+Redesign/Accessories/Housewares,7,0,0.0
/Google+Redesign/Apparel/Womens,907,52,0.057
/Google+Redesign/Accessories/Google+Campus+Bike,637,4,0.006
/Google+Redesign/Shop+by+Brand/Android,513,3,0.006
/Google+Redesign/Drinkware/Google+KeepCup,81,1,0.012
/ordercompleted,628,26,0.041
/Google+Redesign/Apparel/Socks,567,11,0.019
/Google+Redesign/Stationery/Writing,190,4,0.021
/payment,200,68,0.34
/Google+Redesign/Office/Google+Clear+Pen+4pack,43,5,0.116
/Google+Redesign/Apparel/Google+Leather+Strap+Hat+Black,87,0,0.0
/Google+Redesign/Campus+Collection,952,13,0.014
/Google+Redesign/Accessories/Noogler+Android+Figure+2019,613,9,0.015
/basket,2694,252,0.094
/Google+Redesign/Accessories/Google+Chrome+Dinosaur+Collectible,929,7,0.008
/google+redesign/apparel/mens/quickview,271,0,0.0
/revieworder,74,19,0.257
/Google+Redesign/Office/Writing/Maze+Pen,77,3,0.039
/Google+Redesign/Bags,211,0,0.0
/Google+Redesign/Lifestyle/Google+Bear+Baby+Blanket+Beige,464,15,0.032
/Eco/Organic+Basic+T-Shirt,4,0,0.0
/Google+Redesign/Apparel/Google+Womens+Google+Striped+LS,29,1,0.034
/google+redesign/apparel/mens,281,0,0.0
/Google+Redesign/Apparel/Google+Zip+Hoodie+FC,490,11,0.022
/Google+Redesign/Apparel/Google+Land+and+Sea+Unisex+Tee,85,2,0.024
/Google+Redesign/Drinkware/Google+Glass+Bottle,94,5,0.053
/Google+Redesign/Bags/Google+Incognito+Messenger+Bag,60,0,0.0
/asearch,1064,15,0.014
/Google+Redesign/Drinkware/Water+Bottles,434,2,0.005
/Google+Redesign/Office,614,1,0.002
/Google+Redesign/Apparel/YouTube+Standards+Zip+Hoodie+Black,81,7,0.086
/google+redesign/lifestyle/bags/quickview,11,0,0.0
/Google+Redesign/Bags/Google+Incognito+Zippack+V2,133,1,0.008
